sss2019-07-10 09:46:37,922 [22] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:57:47,456 [23] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 09:57:47,622 [23] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 09:57:47,671 [32] INFO  SessionModule SESSION -> Using
2019-07-10 09:57:47,673 [32] INFO  WSFedModule FED -> Using
2019-07-10 10:13:57,298 [31] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 10:13:57,484 [31] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 10:13:57,533 [49] INFO  SessionModule SESSION -> Using
2019-07-10 10:13:57,536 [49] INFO  WSFedModule FED -> Using
2019-07-10 10:14:44,241 [31] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 10:14:44,429 [31] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 10:14:44,477 [49] INFO  SessionModule SESSION -> Using
2019-07-10 10:14:44,479 [49] INFO  WSFedModule FED2 -> Using
2019-07-10 10:14:44,481 [49] INFO  WSFedModule FED -> Using
2019-07-10 10:14:47,470 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:14:47,473 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:14:47,477 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:14:47,535 [39] INFO  SessionModule SESSION -> Using
2019-07-10 10:14:47,536 [39] INFO  WSFedModule FED2 -> Using
2019-07-10 10:14:47,537 [39] INFO  WSFedModule FED -> Using
2019-07-10 10:14:47,587 [61] INFO  SessionModule SESSION -> Using
2019-07-10 10:14:47,588 [61] INFO  WSFedModule FED2 -> Using
2019-07-10 10:14:47,589 [61] INFO  WSFedModule FED -> Using
2019-07-10 10:14:47,644 [47] INFO  SessionModule SESSION -> Using
2019-07-10 10:14:47,647 [47] INFO  WSFedModule FED2 -> Using
2019-07-10 10:14:47,648 [47] INFO  WSFedModule FED -> Using
2019-07-10 10:14:47,690 [32] INFO  SessionModule SESSION -> Using
2019-07-10 10:14:47,694 [32] INFO  WSFedModule FED2 -> Using
2019-07-10 10:14:47,696 [32] INFO  WSFedModule FED -> Using
2019-07-10 10:14:47,735 [53] INFO  SessionModule SESSION -> Using
2019-07-10 10:14:47,736 [53] INFO  WSFedModule FED2 -> Using
2019-07-10 10:14:47,737 [53] INFO  WSFedModule FED -> Using
2019-07-10 10:15:18,684 [57] INFO  SessionModule SESSION -> Using
2019-07-10 10:15:18,685 [57] INFO  WSFedModule FED2 -> Using
2019-07-10 10:15:18,689 [57] INFO  WSFedModule FED -> Using
2019-07-10 10:15:18,740 [50] INFO  SessionModule SESSION -> Using
2019-07-10 10:15:18,742 [50] INFO  WSFedModule FED2 -> Using
2019-07-10 10:15:18,747 [50] INFO  WSFedModule FED -> Using
2019-07-10 10:15:18,820 [60] INFO  SessionModule SESSION -> Using
